key;source;alias;id;information;navn;picture;mail
201;instagram;cake;50;;Classic cakes;https://m2.behance.net/rendition/pm/9385265/disp/2b3b1de0fcb0471a9347d073a43c0a95.jpg;
202;instagram;angel;51;;Angel cakes;http://1.bp.blogspot.com/-dsf0pQXU6wA/UrAP4jyLLoI/AAAAAAAAAqE/4X7VI436XoA/s1600/logo.png;
203;instagram;cup;52;;Cup a cake;http://image.naldzgraphics.net/2012/02/30-CupaCakeCafe.jpg;
204;pin;special;53;;Special cakes;http://www.thecherryred.com/uploads/np/b57.jpg;
205;pin;Flower;54;;Flower cakes;http://favim.com/image/700724/;
206;pin;cacemom;55;;CakeMom;http://favim.com/image/2770418/;
207;facebook;sats;56;;Sats Oslo;https://igcdn-photos-e-a.akamaihd.net/hphotos-ak-xaf1/t51.2885-19/10533390_600976090028292_39961266_a.jpg;
208;facebook;strong;57;;Strong;http://www.sats.no/Global/images/grupptraning/16.9/ballet-700x394.jpg;
209;facebook;skaugum;58;;Skaugum;http://utelivskart.no/wp-content/uploads/2014/07/skaugum.png;
210;facebook;baroque;59;;Baroque;https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xat1/v/t1.0-1/p200x200/1450130_642660419110091_830346771_n.jpg?oh=310e2fdbe0a0bd3e2621be0c59904e88&oe=55F48A6E&__gda__=1441265671_c11df3823b7434907beb8c1e7869f066;
211;facebook;Birkern;60;;Birken;http://www.dbs.no/files/2014/08/BirkenLogoInvert.jpg;
212;instagram;makeup;61;;Makeup;https://s-media-cache-ak0.pinimg.com/236x/6b/76/48/6b7648eb6faf0d8f59dfec20a21bec89.jpg;
213;facebook;golf;62;;Golfklubben;http://wj.no/wp-content/uploads/2013/03/Oslo-Golfklubb.jpg;
214;facebook;Øl;63;;Øl-gutta;http://vi.sualize.us/ffffound_iconos_logo_germany_belgium_picture_d8UP.html;
